unique_code,price,AREA_SIZE,calculated_sqm,x,y,price_per_sqm
97ΑΣΟΞΔ1-ΖΜ4,1667.0000000000002,250.11,403.1497761243135,2557630.896400001,4575774.582699999,7.0
97Γ2Ω1Ψ-01Κ,1000.0,100.0,150.77378675893368,2711047.585200001,4211694.861599997,10.0
97Γ8ΩΨΟ-ΜΥΣ,2892.48,120.521,216.5131113251451,2879501.6889000013,4989041.9619999975,24.0
97Δ5Η-ΤΘ1,3443.09,491.87,768.2431853105405,2421446.4662000015,4411068.112899996,7.0
97Δ7Ω9Ψ-ΗΨΩ,3000.0,200.0,320.5727781261518,2533897.6887999997,4496797.437200002,15.0
97ΔΖΩΗ5-ΟΘΥ,1333.33,20.0,30.28029812685161,2662421.662799999,4234631.332500003,67.0
97Ζ6Ω9Ζ-ΠΑ9,330.0,15.0,24.423060141171764,2439943.8126000017,4634748.0348000005,22.0
97ΙΖΩ1Γ-1ΚΦ,3200.0,40.0,60.19573364103736,2923791.963300001,4198586.418799996,80.0
97Λ8ΩΕ1-ΖΗ3,10000.0,500.0,752.0712364626427,2635832.518199999,4195450.9256,20.0
97Μ5ΩΚ9-8Σ6,2500.0,200.0,291.7194352875906,2549246.215500001,4384343.495999999,12.0
97ΜΔΗ-ΑΘ4,5565.37,247.35,400.055007195709,2516823.2443999983,4591246.328900002,22.0
97Ν2Η-4ΞΣ,1705.2,120.0,186.09499539105948,2493517.7146000005,4367179.494400002,14.0
97Ν3Ω6Τ-7ΡΡ,2433.98,211.651,317.116063042933,2749064.785799999,4177128.653300002,11.0
97ΝΡΗ-ΓΟΒ,1260.0,160.0,251.1491138683828,2464733.0516999997,4434278.620200001,8.0
97ΞΩΩΨΤ-ΠΦΙ,1440.0,90.0,136.00866281900028,2691406.085900001,4225408.713200003,16.0
97Ο5ΩΕΤ-Τ3Ψ,360.0,30.0,51.562249469647526,2515820.5702,4905651.323200002,12.0
97Π4Η-3ΑΜ,312.0,156.0,232.11459866047494,2824321.3116500005,4163570.6577499993,2.0
97ΤΗΗ-ΤΩΤ,2000.0,50.0,86.18647639981481,2660051.4466999993,4913355.210000001,40.0
